LA,Name,BNG_E,BNG_N,LONG,LAT,GlobalID,Shape__Area,Shape__Length,SC,Pop,Store_Density,South check
E07000240,St Albans,514580,209623,-0.3407,51.77356,3ed1dd5f-ab12-4638-aa3e-3d1a921bc0c2,161205789,72941.69545,2,148175,74087.5,South
E07000241,Welwyn Hatfield,525345,208467,-0.18518,51.76087,995be765-f915-4e42-ab90-166c985fceb4,129536962.9,82383.36163,1,119820,119820,South
E07000242,East Hertfordshire,537995,220370,0.002739,51.86485,204085c6-a1b4-4a22-9797-298d4170f3bc,475669142.2,135178.0272,3,150135,50045,South
E07000243,Stevenage,524622,224531,-0.18987,51.90539,c622a135-8429-4367-b210-aa4ee462676c,25969247.26,28585.16143,4,89480,22370,South
E07000246,Somerset West and Taunton,304961,130227,-3.35764,51.06348,e7738b3d-5b79-48e9-b781-6611d28156cf,1210524864,279493.5929,0,157525,,South
E09000001,City of London,532381,181359,-0.09353,51.51565,ca34411c-db51-44cd-acdb-c7f3d344f3f5,3147460.273,9615.498733,0,8595,,South
E09000002,Barking and Dagenham,547757,185111,0.129479,51.54555,2dd15466-ca51-41bd-b06a-9de253f29d27,37781772.48,37054.7184,4,218870,54717.5,South
E09000003,Barnet,523472,191753,-0.21821,51.61108,08761bc6-5800-45a4-b888-3edec0299124,86748227.88,50815.59752,6,389350,64891.66667,South
E09000004,Bexley,549202,175434,0.146212,51.45822,62fe4e24-987f-452d-a55e-f5b39552ae01,64312847.9,43433.35524,4,246465,61616.25,South
E09000005,Brent,519615,186468,-0.27568,51.56441,5d5a92fe-971e-4ee2-b480-918b729a1a0e,43232684.13,38331.00175,4,339810,84952.5,South
E09000006,Bromley,542036,165708,0.039246,51.37267,7bb81a55-0a10-4209-93f0-cf1c9c1e20f2,150130427.2,76141.62771,6,329960,54993.33333,South
E09000007,Camden,527492,184284,-0.16289,51.54306,37108599-b740-4e1c-8e5d-8aaf835e9306,21789308.6,26149.4956,10,210125,21012.5,South
E09000008,Croydon,533922,164745,-0.07761,51.36598,6e6fa1bc-81b5-4734-a782-8430a0b91916,86496808.33,58688.28424,9,390700,43411.11111,South
E09000009,Ealing,517057,181960,-0.31407,51.52443,d1068aed-d7d9-4b68-ad22-de9181f8fb86,55544376.03,47432.58291,7,367090,52441.42857,South
E09000010,Enfield,532829,196197,-0.08147,51.64888,29146662-3e02-4c41-a0be-290e0f22e85e,82200174.3,41061.11118,12,329970,27497.5,South
E09000011,Greenwich,542507,175879,0.050093,51.46394,74902e67-155e-4499-864f-074dd04e18c4,50439344.63,45482.73752,9,289145,32127.22222,South
E09000012,Hackney,534560,185787,-0.06045,51.55492,a726eef0-d433-4f0c-8eaa-1a25b42c6546,19046912.98,25374.02887,2,259155,129577.5,South
E09000013,Hammersmith and Fulham,523867,177993,-0.21735,51.48733,1d8c84a4-caf6-4423-a75c-e9bd81ee60ee,17153953.68,23930.49971,6,183135,30522.5,South
E09000014,Haringey,531262,189349,-0.10667,51.58771,dc669c73-2188-49c1-a752-96deb86e8df5,29598417.65,29011.10021,6,264210,44035,South
E09000015,Harrow,515356,189736,-0.33603,51.59467,1a47d7d5-983b-49e3-9c3e-301127ceb9af,50463307.38,33734.60811,1,261260,261260,South
E09000016,Havering,555032,187514,0.235368,51.56519,bb525f47-1278-4958-9e46-d4af45e0afe5,114457476.4,63921.11271,9,262045,29116.11111,South
E09000017,Hillingdon,508166,183120,-0.44182,51.53663,bfff99b5-c460-4d4d-9e3e-178770575e1f,115700600.1,63883.15614,7,306010,43715.71429,South
E09000018,Hounslow,512742,174965,-0.37847,51.46243,87c7c53e-64c0-44e6-86b4-e4df346f222e,56585426.72,57603.18165,11,288235,26203.18182,South
E09000019,Islington,531158,184647,-0.10992,51.54548,db3a500d-72ba-4f96-b9c4-709532faa9f0,14856680.66,20720.19497,5,216580,43316,South
E09000020,Kensington and Chelsea,525757,179053,-0.18976,51.49644,177b38b3-2ad5-4b06-b0bd-d58737f98b52,12383966.97,20990.45349,2,143360,71680,South
E09000021,Kingston upon Thames,519508,167389,-0.28367,51.39296,48ed7481-ad3a-4ad9-8f9f-575750bddbeb,37265392.92,37527.94939,6,168030,28005,South
E09000022,Lambeth,531117,175629,-0.11386,51.46445,f438c6f5-829b-4866-98b5-52f416473abc,27237356.69,34173.57249,7,317615,45373.57143,South
E09000023,Lewisham,537889,173344,-0.01733,51.44231,b0853345-91b1-4337-a6be-8bc5316c2e8e,35317111.24,40996.92819,6,300520,50086.66667,South
E09000024,Merton,526069,169507,-0.18867,51.41057,20118045-f919-44f3-8b28-b348bc4f5f0f,37624746.53,32340.37712,6,215155,35859.16667,South
E09000025,Newham,540714,183344,0.027275,51.53147,1f5b00c5-c82a-4891-80c9-6cd802cc5dad,38581475.49,31815.78691,8,351060,43882.5,South
E09000026,Redbridge,543512,189477,0.070085,51.58588,40056af7-f01d-445c-8cae-38851a744ce2,56440343.72,45772.59183,6,310235,51705.83333,South
E09000027,Richmond upon Thames,519005,172650,-0.28914,51.44035,6a41be02-ac11-413a-939b-09e48a446d64,58761152.65,52350.96933,4,195260,48815,South
E09000028,Southwark,533945,175863,-0.07309,51.46589,132eb203-5363-4b1f-bb4e-ec4dafa9a4e4,29921640.07,33625.50959,8,307605,38450.625,South
